Brand,Category_URL,Price_Rs,Product_Code,Product_Name,Product_URL,Rating,Seller
SWAYAM,https://www.myntra.com/surgical-masks,189,11818874,SWAYAM Men 20 Pcs Green 3-Ply Disposable Surgical Face Masks,https://www.myntra.com/outdoor-masks/swayam/swayam-men-20-pcs-green-3-ply-disposable-surgical-face-masks/11818874/buy,3,LINEN DESIGN
Story@home,https://www.myntra.com/surgical-masks,419,11984792,Story@home Adults Blue 50 Pcs Non-Woven Disposable Face Masks,https://www.myntra.com/outdoor-masks/storyhome/storyhome-adults-blue-50-pcs-non-woven-disposable-face-masks/11984792/buy,1,ELITE DECOR PVT LTD
Peter England,https://www.myntra.com/masks-store,319,11969874,Peter England Assorted Pack of 3 Fabric Mask,https://www.myntra.com/outdoor-masks/peter-england/peter-england-assorted-pack-of-3-fabric-mask/11969874/buy,2.6,Aditya Birla Fashion and Retail Limited (Madura Fashion & Lifestyle)
Voylla,https://www.myntra.com/masks-store,389,11886904,Voylla Unisex Purple 8 Pcs 2 Ply Reusable & Washable Outdoor Masks,https://www.myntra.com/outdoor-masks/voylla/voylla-unisex-purple-8-pcs-2-ply-reusable--washable-outdoor-masks/11886904/buy,0,VOYLLA FASHIONS PVT LTD
BOD GUARD,https://www.myntra.com/masks-store,524,11801786,BOD GUARD PM2.5 Anti Pollution Face Mask with Mosquito Repellent & Fabric Roll On,https://www.myntra.com/outdoor-masks/bod-guard/bod-guard-pm25-anti-pollution-face-mask-with-mosquito-repellent--fabric-roll-on/11801786/buy,0,Sirona Hygiene Private Limited
Voylla,https://www.myntra.com/masks-store,389,11886894,Voylla Unisex 4 Pcs Green Solid 2-Ply Anti-Pollution Reusable Cloth Masks,https://www.myntra.com/outdoor-masks/voylla/voylla-unisex-4-pcs-green-solid-2-ply-anti-pollution-reusable-cloth-masks/11886894/buy,0,VOYLLA FASHIONS PVT LTD
Voylla,https://www.myntra.com/masks-store,269,11886878,Voylla Unisex 4 Pcs Navy Blue Solid 2-Ply Anti-Dust Reusable Cloths Masks,https://www.myntra.com/outdoor-masks/voylla/voylla-unisex-4-pcs-navy-blue-solid-2-ply-anti-dust-reusable-cloths-masks/11886878/buy,3,VOYLLA FASHIONS PVT LTD
LUXURAZI,https://www.myntra.com/masks-store,255,12072678,LUXURAZI Cerified 5 Layered Protective Fashion Masks,https://www.myntra.com/outdoor-masks/luxurazi/luxurazi-cerified-5-layered-protective-fashion-masks/12072678/buy,0,LUXURAZI INDIA (JIT)
SWISS MILITARY,https://www.myntra.com/masks-store,1078,12078056,SWISS MILITARY pack of 7 Black color A95+ 3 Layer  outdoor Masks with 1 Respirator,https://www.myntra.com/outdoor-masks/swiss-military/swiss-military-pack-of-7-black-color-a95-3-layer--outdoor-masks-with-1-respirator/12078056/buy,0,SWISS MILITARY LIFESTYLE PRODUCTS PVT LTD
Voylla,https://www.myntra.com/masks-store,336,11886902,Voylla Unisex Yellow Printed 4 Pcs 2 Ply Reusable Outdoor Fabric Masks,https://www.myntra.com/outdoor-masks/voylla/voylla-unisex-yellow-printed-4-pcs-2-ply-reusable-outdoor-fabric-masks/11886902/buy,0,VOYLLA FASHIONS PVT LTD
Voylla,https://www.myntra.com/masks-store,269,11886922,Voylla Unisex 4 Pcs Red Solid 2-Ply Anti-Pollution Reusable Cloth Masks,https://www.myntra.com/outdoor-masks/voylla/voylla-unisex-4-pcs-red-solid-2-ply-anti-pollution-reusable-cloth-masks/11886922/buy,0,VOYLLA FASHIONS PVT LTD
